
2025/02/13 (22:59:57) | ===> btop++ v.1.4.0
2025/02/13 (22:59:57) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/13 (23:31:23) | ===> btop++ v.1.4.0
2025/02/13 (23:31:23) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (12:24:47) | ===> btop++ v.1.4.0
2025/02/14 (12:24:47) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (12:52:50) | ===> btop++ v.1.4.0
2025/02/14 (12:52:50) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/14 (12:52:57) | ===> btop++ v.1.4.0
2025/02/14 (12:52:57) | WARNING: Intel GPU: Failed to initialize PMU
